text,label
這麼簡單的東西教三次還不會，智商是有多低？,2
你給我滾出去，我現在一秒鐘都不想看到你的臉！,2
成事不足敗事有餘的傢伙，滾一邊去別礙事！,2
你算哪根蔥啊？輪得到你在這裡指手畫腳嗎？,2
我看你根本就是心理變態，專門搞破壞！,2
寫這什麼狗屁不通的東西，幼稚園小朋友都寫得比你好！,2
少在那邊倚老賣老，看了就令人反感！,2
你嘴巴最好放乾淨一點，不要逼我動手！,2
整天只會拍馬屁邀功，實際上根本沒半點能力！,2
像你這種自私自利的人，早晚會有報應的！,2
你到底要耍蠢到什麼時候？大家都快被你害死了！,2
不要在那邊鬼扯，錯了就是錯了，跪下道歉！,2
你是智障嗎？連開關在哪裡都不知道？,2
真後悔當初錄取你，完全就是團隊的累贅！,2
少廢話，不想幹就立刻遞辭呈滾蛋！,2
你這種態度走出去外面，連洗碗都沒人要請你！,2
給我閉嘴聽好，現在沒人想聽你的爛藉口！,2
幫我拿個東西,0
可以幫我去廚房拿個碗筷嗎,0
